Unnamed: 0,Timestamp,Subject ,Q1.Did you face any internet connectivity issues during the class?,Q2. How many times on average did the meeting disconnect?,Q3.Were you able to understand the concept?,Q4.which platform was used for the class?,Q5.Attendance in the subject?,Q6.The interactive tools used for teaching in classes?,Q7.How many questions did the teacher ask in the class?,Q8.How many questions did you ask the teacher?,Q9.Which study material provided by the university did you use for studying?,Q10.Examination Portal was well managed for this subject? ,Q11.The alternative is provided by the University if the uploading option in the exam portal is not working?,Q12. Was the professor available for the doubts?,Q13.lecture recording was provided?,Q14.Interest in the subject? ,Q15.For how much time on average did you attentively attend the classes?,Q16.Did you get the choice of your Teacher in the subject?,Q17.How many questions in the exam you could have answered on your own?,Q18.Your grade in the subject ,Q19.Give Some Suggestion you have for the online learning (only fill once).
6,1-21-2021 20:40:52,software engineering,1,0,0,['Google Meet'],1,['Presentation'],0,0,"['Physical Books', ' Presentations']","['The Navigation was bad ', ' and portal was laggy.']",1,0,1,1,3,0,0,9,They should make there own Portal with more powerful servers to handle it better.
7,1-21-2021 20:45:19,computer networks,1,0,0,"['Zoom', ' Google Meet']",0,"['Presentation', ' Virtual Board']",0,0,"['E-Books', ' Notes', ' Presentations']",['Facing Problem while uploading'],1,0,1,2,0,2,3,9,"1.The teacher always ask for ON your video for the classes.
2.Ask question randomly every time."
8,1-21-2021 20:48:42,computer networks,1,0,0,['Google Meet'],0,['White board'],0,0,['E-Books'],['Facing Problem while uploading'],1,2,1,3,0,0,3,9,The DATABASE error has to be fixed as it cause lag while uploading files or fetching questions in window.
9,1-21-2021 20:51:20,design and analysis of algorithms,0,1,0,['Zoom'],2,['White board'],1,0,"['Notes', ' Presentations', ' Youtube Videos']",['Server errors were frequent'],1,2,1,0,0,2,2,9,Students should be asked to turn on their videos.
10,1-21-2021 20:51:58,design and analysis of algorithms,1,0,0,['Google Meet'],1,['Presentation'],2,2,['Physical Books'],['Everything was perfect'],1,3,3,3,2,2,1,10,the files uploading interface was not good and should make it more user friendly.
11,1-21-2021 20:55:07,design and analysis of algorithms,0,0,0,['Zoom'],1,"['White board', ' Youtube or Videos(example:-Recorded Lecture of practical shown in class)']",1,0,"['Physical Books', ' Presentations', ' Youtube']","['Facing Problem while uploading', ' File was uploaded but not shown in review', ' Time limit should increase']",1,0,1,1,0,2,3,9,"Keep Internet connectivity good
mentioned the environment "
12,1-21-2021 20:56:16,Data Mining and Data Warehousing,1,0,1,['Google Meet'],1,"['Presentation', ' Virtual Board']",0,0,['Physical Books'],['Everything was perfect'],1,2,1,0,0,0,2,9,The moodle UI should be more user friendly.
13,1-21-2021 20:59:18,software engineering,0,0,1,['Google Meet'],1,"['Presentation', ' Virtual Board']",1,0,"['E-Books', ' Notes', ' Presentations', ' Youtube ']","['Facing Problem while uploading', ' File was uploaded but not shown in review', ' Time constraint']",1,0,1,1,0,2,2,8,lecture should be  pertaining subject matter
14,1-21-2021 21:00:00,internet of things,1,0,0,['Google Meet'],1,"['Presentation', ' Youtube or Videos(example:-Recorded Lecture of practical shown in class)']",0,0,"['E-Books', ' Notes']",['Everything was perfect'],1,3,1,3,1,0,4,9,The Teacher should take the classes wisely as only one class was scheduled for every week . And also teach the subject with interest. 
15,1-21-2021 21:00:44,computer networks,1,0,0,['Zoom'],2,"['White board', ' Presentation', ' Links to reference Material']",2,1,"['E-Books', ' Notes', ' Presentations', ' Youtube Videos']",['Everything was perfect'],1,2,1,0,1,0,3,9,Students should be requested to turn on their cameras.
16,1-21-2021 21:03:13,computational intelligence,1,0,1,['Google Meet'],2,"['Presentation', ' Virtual Board']",0,1,['Physical Books'],['Everything was perfect'],1,3,1,0,1,0,3,10,The teacher should not take the test repeatedly and teach us using zoom but not only by sending videos on whatsapp.
17,1-21-2021 21:05:38,computational intelligence,0,1,0,['Zoom'],1,"['Presentation', ' Links to reference Material']",0,0,"['Physical Books', ' E-Books', ' Notes', ' Presentations', ' Youtube videos']",['Everything was perfect'],1,1,3,3,0,2,2,9,Interruptions in class due to personal class should be minimized.
18,1-21-2021 21:10:39,internet of things,1,0,1,['Google Meet'],1,"['Presentation', ' Links to reference Material']",1,0,"['Notes', ' Presentations']",['Everything was perfect'],1,0,1,3,3,0,0,10,Class timings should not be shifted as per convenience.
19,1-21-2021 21:11:46,internet of things,0,2,1,['Zoom'],0,['Presentation'],1,0,"['Physical Books', ' Presentations']","['Facing Problem while uploading', ' File was uploaded but not shown in review', ' TIme is very limited']",1,0,1,2,3,2,2,8,"Teacher should asked to keep the Video on to the teachers
This subject should be more Practical based and show how it work on the online "
20,1-21-2021 21:17:06,Data Mining and Data Warehousing,0,1,0,['Google Meet'],1,['Presentation'],0,1,"['Physical Books', ' E-Books', ' Notes', ' Presentations', ' Youtube videos']",['Server Error'],1,0,1,3,3,2,3,9,Teacher should work on thier charisma.
21,1-21-2021 21:19:40,Data Mining and Data Warehousing,1,0,0,['Google Meet'],3,['Presentation'],1,0,"['E-Books', ' Notes', ' Presentations']","['File was uploaded but not shown in review', ' Time is very limited ']",1,0,1,3,1,2,3,9,"student should keep the video on 
internal marks should be on the practical projects "
22,1-21-2021 21:22:14,computational intelligence,0,3,0,['Zoom'],2,['Presentation'],0,0,"['Physical Books', ' E-Books', ' Notes', ' Presentations']",['Everything was perfect'],1,3,3,3,2,2,4,10,Leverage your network
23,1-21-2021 21:26:59,software engineering,1,0,0,['Zoom'],1,['Presentation'],0,0,"['Notes', ' Presentations']",['Server Error'],1,0,1,0,3,2,0,9,Students should be requested to turn on their video cameras.
24,1-21-2021 21:59:06,programmable system on chip,0,1,1,['Google Meet'],1,"['Presentation', ' Virtual Board']",0,0,"['E-Books', ' Notes']",['File was uploaded but not shown in review'],1,3,3,1,3,2,3,9,White board is more preferable than virtual 
25,1-21-2021 22:05:59,message passing interface,0,2,0,['Google Meet'],1,"['Presentation', ' Virtual Board']",2,0,['E-Books'],"['Everything was perfect', ' File was uploaded but not shown in review']",1,3,3,3,1,2,3,10,White board is more preferred 
26,1-21-2021 22:10:09,engineering economics,0,1,0,['Zoom'],1,"['Presentation', ' Virtual Board']",1,1,"['Notes', ' Presentations']",['Everything was perfect'],1,3,3,3,1,2,2,10,
27,1-21-2021 22:13:49,renewable energy systems,0,1,0,['Google Meet'],0,['Presentation'],0,0,['Presentations'],['Everything was perfect'],1,0,3,1,3,2,0,10,
28,1-21-2021 22:20:03,internet of things,0,1,0,['Google Meet'],2,"['Presentation', ' Links to reference Material', ' Youtube or Videos(example:-Recorded Lecture of practical shown in class)']",1,0,"['Notes', ' Presentations']",['Everything was perfect'],1,0,1,1,0,1,2,10,White board is more preferred 
29,1-21-2021 22:32:02,engineering economics,0,1,0,['Google Meet'],1,"['White board', ' Presentation']",1,0,"['Physical Books', ' Notes', ' Presentations']",['Everything was perfect'],1,0,3,0,1,2,4,10,
30,1-21-2021 22:35:29,programmable system on chip,1,1,0,['Google Meet'],1,"['Presentation', ' Virtual Board']",1,0,"['Physical Books', ' E-Books', ' Notes', ' Presentations']",['Everything was perfect'],1,0,3,3,2,2,1,10,
31,1-21-2021 22:37:51,electronic data capture,1,1,0,['Google Meet'],1,"['Presentation', ' Virtual Board']",0,1,"['Physical Books', ' E-Books', ' Notes', ' Presentations']",['Everything was perfect'],1,0,1,3,2,2,1,10,
32,1-21-2021 22:39:47,renewable energy systems,1,0,0,['Google Meet'],1,['Presentation'],0,0,"['Physical Books', ' Notes', ' Presentations']",['Everything was perfect'],1,0,3,1,2,2,4,10,
33,1-21-2021 22:41:32,message passing interface,1,0,0,['Google Meet'],1,"['Presentation', ' Virtual Board']",2,0,"['Physical Books', ' Notes', ' Presentations']",['Everything was perfect'],1,0,3,3,2,2,1,10,
34,1-21-2021 22:44:40,internet of things,1,3,1,['Google Meet'],1,"['Presentation', ' Virtual Board']",0,0,"['E-Books', ' Notes', ' Presentations']",['Everything was perfect'],1,0,1,3,2,1,4,10,
35,1-21-2021 23:25:29,data structures and algorithms,1,0,1,['Google Meet'],1,"['White board', ' Virtual Board']",0,0,"['Physical Books', ' E-Books', ' Presentations']",['Everything was perfect'],1,3,1,2,3,2,2,9,
36,1-21-2021 23:26:58,computer networks,1,4,0,['Google Meet'],2,['Presentation'],0,0,"['E-Books', ' Notes']",['Everything was perfect'],1,3,1,3,1,2,4,10,
37,1-21-2021 23:28:13,high performance computing,0,4,1,['Zoom'],3,"['White board', ' Presentation']",1,0,['Presentations'],['Everything was perfect'],1,3,0,2,3,0,2,9,
38,1-21-2021 23:29:22,software engineering,1,0,0,"['Zoom', ' Google Meet']",2,"['White board', ' Presentation']",1,0,"['Physical Books', ' E-Books', ' Presentations']",['Everything was perfect'],1,3,1,3,1,0,3,9,
39,1-21-2021 23:30:18,artificial intelligence,0,4,1,['Google Meet'],0,"['White board', ' Presentation']",0,0,['Presentations'],['Everything was perfect'],1,3,1,2,3,0,4,9,
40,1-21-2021 23:31:22,Data Mining and Data Warehousing,0,7,0,['Zoom'],1,['Presentation'],0,0,"['E-Books', ' Presentations']",['Everything was perfect'],1,3,0,0,1,2,4,9,
41,1-21-2021 23:50:13,OPTICAL COMMUNICATION NETWORKS,0,6,0,['Zoom'],1,"['Links to reference Material', ' Book and pdf']",2,1,"['Physical Books', ' Notes']",['Facing Problem while uploading'],1,3,3,3,2,2,3,10,"Online learning is good but the connection between a student a a teacher is missing, hope to see offline classes soon. "
42,1-21-2021 23:53:31,optical communication networks,1,1,0,['Zoom'],2,"['Presentation', ' Virtual Board']",1,0,"['Physical Books', ' E-Books', ' Notes', ' Presentations']",['Everything was perfect'],1,3,3,1,0,2,3,10,
43,1-21-2021 23:54:33,Aap,1,10,0,"['Zoom', ' Google Meet']",2,"['White board', ' Presentation']",2,1,"['E-Books', ' Presentations']",['Everything was perfect'],1,3,3,3,1,2,4,9,.
44,1-21-2021 23:55:01,Data Mining and Data Warehousing,0,2,1,"['Zoom', ' Google Meet']",2,"['White board', ' Presentation']",0,0,"['Physical Books', ' E-Books', ' Notes', ' Presentations']",['Facing Problem while uploading'],0,2,1,1,1,2,4,10,
45,1-21-2021 23:55:03,AAP,0,2,0,['Google Meet'],3,"['White board', ' Presentation']",2,0,['Notes'],['Facing Problem while uploading'],1,0,3,0,3,2,3,9,Stop it already it is doing no good to anyone
46,1-21-2021 23:56:06,digital signal processor,0,4,0,"['Zoom', ' Google Meet']",1,"['White board', ' Presentation', ' Virtual Board', ' Links to reference Material']",0,0,"['Notes', ' Presentations']","['Facing Problem while uploading', ' File was uploaded but not shown in review']",1,3,3,1,2,2,4,8,
47,1-21-2021 23:59:49,dynamic circuit netwrok,1,0,0,"['Zoom', ' Google Meet']",1,"['White board', ' Presentation', ' Virtual Board', ' Links to reference Material']",1,0,"['Physical Books', ' Presentations']",['Facing Problem while uploading'],0,3,1,3,1,0,4,9,Please provide books physically it is more effective than e book.
48,1-22-2021 0:02:55,internet of things,0,1,1,['Zoom'],1,"['Presentation', ' Virtual Board']",1,0,"['Physical Books', ' Presentations']",['Everything was perfect'],1,0,1,0,3,2,0,10,"White Board is much better than virtual presentation 
"
49,1-22-2021 0:06:37,computer networks,0,0,1,['Google Meet'],2,['Presentation'],0,0,"['E-Books', ' Notes', ' Presentations', ' YOUTUBE ']","['Everything was perfect', ' Time was limited']",1,0,1,1,3,2,0,10,
50,1-22-2021 0:09:20,design and analysis of algorithms,0,2,0,['Zoom'],2,['White board'],1,0,"['Physical Books', ' Notes', ' Presentations', ' YOUTUBE']","['Everything was perfect', ' Facing Problem while uploading', ' TIME Was limited']",1,0,1,0,0,2,2,10,
51,1-22-2021 0:12:05,software engineering,0,0,1,['Google Meet'],2,"['Presentation', ' Virtual Board', ' Links to reference Material']",0,0,"['E-Books', ' Presentations']","['Everything was perfect', ' TIME SHOULD INCREASE']",1,1,1,1,0,0,0,10,"WHITE BOARD, INternal marks should based on the project
"
52,1-22-2021 0:14:30,computational intelligence,0,2,0,['Zoom'],2,"['Presentation', ' Virtual Board']",0,0,"['Physical Books', ' E-Books', ' Notes', ' Presentations']","['Everything was perfect', ' Time was limited']",1,3,3,3,3,2,0,10,
53,1-22-2021 0:16:59,MICROWAVE engineering(WME),0,6,0,"['Zoom', ' Google Meet']",2,"['White board', ' Presentation', ' Links to reference Material']",1,1,"['E-Books', ' Notes']","['Facing Problem while uploading', ' Sections are not opening even after 15 min or more', ' File was uploaded but not shown in review']",0,3,3,1,2,2,4,8,"In exam time , facing some problem as regarding uploaded time . those student not submitted section B part. due to network problem. University should be provide another link then upload these file."
54,1-22-2021 0:17:03,Data Mining and Data Warehousing,1,0,0,['Google Meet'],2,"['Presentation', ' Virtual Board']",0,0,"['E-Books', ' Notes', ' Presentations']",['Everything was perfect'],1,0,1,3,1,2,3,10,
55,1-22-2021 2:14:08,dual clutch transmission,1,0,0,['Zoom'],2,['Presentation'],1,1,"['Physical Books', ' E-Books', ' Notes', ' Presentations']",['Everything was perfect'],1,3,3,3,2,2,4,8,
56,1-22-2021 8:37:47,Data Mining and Data Warehousing,1,1,0,"['Zoom', ' Google Meet']",2,"['Presentation', ' Links to reference Material']",0,0,"['E-Books', ' Notes', ' Presentations']","['Facing Problem while uploading', ' File was uploaded but not shown in review']",0,3,1,1,2,2,4,10,.
57,1-22-2021 10:24:08,software engineering,1,0,1,['Zoom'],0,"['Presentation', ' Virtual Board']",1,0,['E-Books'],['Everything was perfect'],1,0,2,2,3,2,0,9,
58,1-22-2021 10:26:20,Data Mining and Data Warehousing,0,2,0,['Zoom'],1,"['Presentation', ' Virtual Board']",0,0,"['E-Books', ' Notes', ' Presentations', ' YOUTUBE']",['Everything was perfect'],1,2,0,1,0,2,4,9,
59,1-22-2021 10:29:16,artificial intelligence,0,1,1,['Zoom'],1,['Presentation'],0,0,"['Physical Books', ' Presentations']",['Everything was perfect'],1,0,1,2,3,2,2,9,
60,1-22-2021 10:32:48,computer networks,1,0,1,['Zoom'],1,"['Presentation', ' Virtual Board']",0,0,"['E-Books', ' Notes', ' Presentations']",['Everything was perfect'],1,0,1,2,3,2,0,9,
61,1-22-2021 10:35:25,design and analysis of algorithms,0,1,1,['Zoom'],1,['Presentation'],0,0,"['Physical Books', ' Presentations']",['Everything was perfect'],1,3,1,1,3,2,2,9,
62,1-22-2021 10:38:52,high performance computing,1,0,0,['Zoom'],1,"['Presentation', ' Virtual Board', ' Links to reference Material']",0,0,"['E-Books', ' Presentations']",['Everything was perfect'],1,1,1,1,0,2,2,9,
63,1-22-2021 10:40:29,Data analysis ,0,4,1,"['Zoom', ' Google Meet']",0,"['White board', ' Presentation', ' Virtual Board']",1,0,['Notes'],"['Facing Problem while uploading', ' File was uploaded but not shown in review']",1,2,2,1,0,2,3,9,Need to be improved 
64,1-22-2021 10:40:43,Computer networks,0,2,1,['Google Meet'],2,['Presentation'],1,0,['Presentations'],"['Facing Problem while uploading', ' Sections are not opening even after 15 min or more', ' File was uploaded but not shown in review']",0,2,2,1,0,0,2,9,"Cut the crap, call us back"
65,1-22-2021 10:42:36,Internet of Things,0,3,1,['Zoom'],2,['Presentation'],2,0,['Presentations'],"['Facing Problem while uploading', ' Sections are not opening even after 15 min or more', ' File was uploaded but not shown in review']",0,0,2,1,1,0,3,8,
66,1-22-2021 10:42:54,design and analysis of algorithms,1,1,0,['Google Meet'],2,"['White board', ' Presentation']",2,0,"['Physical Books', ' E-Books', ' Notes', ' Presentations']","['Facing Problem while uploading', ' File was uploaded but not shown in review']",1,2,3,3,1,2,4,9,
67,1-22-2021 10:51:04,data analysis,1,0,0,['Google Meet'],2,['Presentation'],0,0,['Presentations'],['Everything was perfect'],0,2,1,0,3,2,4,10,
68,1-22-2021 10:53:31,Computer Networks,0,2,1,"['Zoom', ' Google Meet']",1,"['White board', ' Presentation']",2,1,"['Notes', ' Presentations']",['Facing Problem while uploading'],0,0,1,1,3,2,3,8,
69,1-22-2021 11:05:25,Data Mining and Data Warehousing,1,2,1,['Google Meet'],1,['Presentation'],0,0,['Notes'],['Facing Problem while uploading'],1,0,1,1,3,2,4,9,
70,1-22-2021 11:11:42,Computer Networks,0,3,0,"['Zoom', ' Google Meet']",2,"['White board', ' Presentation', ' Virtual Board']",1,0,"['Physical Books', ' E-Books', ' Notes', ' Presentations']","['Facing Problem while uploading', ' File was uploaded but not shown in review']",0,0,1,1,0,2,4,8,
71,1-22-2021 11:11:42,Data Mining and Data Warehousing,0,3,0,"['Zoom', ' Google Meet']",2,"['White board', ' Presentation', ' Virtual Board']",1,0,"['Physical Books', ' E-Books', ' Notes', ' Presentations']","['Facing Problem while uploading', ' File was uploaded but not shown in review']",0,0,1,1,0,2,4,8,
72,1-22-2021 11:11:42,Data Structure and Algorithms,0,3,0,"['Zoom', ' Google Meet']",2,"['White board', ' Presentation', ' Virtual Board']",1,0,"['Physical Books', ' E-Books', ' Notes', ' Presentations']","['Facing Problem while uploading', ' File was uploaded but not shown in review']",0,0,1,1,0,2,4,8,
73,1-22-2021 11:11:42,Software Engineering,0,3,0,"['Zoom', ' Google Meet']",2,"['White board', ' Presentation', ' Virtual Board']",1,0,"['Physical Books', ' E-Books', ' Notes', ' Presentations']","['Facing Problem while uploading', ' File was uploaded but not shown in review']",0,0,1,1,0,2,4,8,
74,1-22-2021 11:11:42,Internet of Things,0,3,0,"['Zoom', ' Google Meet']",2,"['White board', ' Presentation', ' Virtual Board']",1,0,"['Physical Books', ' E-Books', ' Notes', ' Presentations']","['Facing Problem while uploading', ' File was uploaded but not shown in review']",0,0,1,1,0,2,4,8,
75,1-22-2021 11:11:42,Computational Intelligence,0,3,0,"['Zoom', ' Google Meet']",2,"['White board', ' Presentation', ' Virtual Board']",1,0,"['Physical Books', ' E-Books', ' Notes', ' Presentations']","['Facing Problem while uploading', ' File was uploaded but not shown in review']",0,0,1,1,0,2,4,8,
76,1-22-2021 11:31:07,ce,0,2,0,"['Zoom', ' Google Meet', ' Cisco Webex']",2,"['White board', ' Presentation']",0,0,"['Physical Books', ' E-Books', ' Notes', ' Presentations']",['Everything was perfect'],0,3,1,3,2,2,3,8,
77,1-22-2021 11:33:44,Artificial Intellegence,1,2,0,['Zoom'],1,"['Presentation', ' Virtual Board', ' Links to reference Material']",1,0,"['E-Books', ' Notes', ' Presentations']",['Facing Problem while uploading'],1,3,3,3,0,0,2,9,
78,1-22-2021 11:37:34,Cryptography and Network Security,1,2,0,['Google Meet'],1,"['Presentation', ' Virtual Board']",0,0,"['Physical Books', ' Notes']",['Everything was perfect'],1,3,2,3,0,0,4,9,
79,1-22-2021 11:39:44,HD visual communications,1,2,0,['Zoom'],1,"['Presentation', ' Virtual Board']",0,1,['Physical Books'],['Everything was perfect'],0,3,2,3,0,0,4,9,
80,1-22-2021 11:43:01,Advanced Power Electronics,1,2,0,"['Zoom', ' Google Meet']",1,"['Presentation', ' Virtual Board']",0,1,"['Physical Books', ' Notes']",['Everything was perfect'],1,3,2,3,0,0,4,9,
81,1-22-2021 12:22:08,cyber security,0,2,0,"['Zoom', ' Google Meet']",1,"['Presentation', ' Virtual Board']",0,0,"['Physical Books', ' E-Books']","['Facing Problem while uploading', ' File was uploaded but not shown in review']",1,0,1,1,1,2,3,9,
82,1-22-2021 12:22:08,data analysis,0,2,0,"['Zoom', ' Google Meet']",1,"['Presentation', ' Virtual Board']",0,0,"['Physical Books', ' E-Books']","['Facing Problem while uploading', ' File was uploaded but not shown in review']",1,0,1,1,1,2,3,9,
83,1-22-2021 12:22:08,tools and techniques lab,0,2,0,"['Zoom', ' Google Meet']",1,"['Presentation', ' Virtual Board']",0,0,"['Physical Books', ' E-Books']","['Facing Problem while uploading', ' File was uploaded but not shown in review']",1,0,1,1,1,2,3,9,
84,1-22-2021 12:22:08,artificial intelligence,0,2,0,"['Zoom', ' Google Meet']",1,"['Presentation', ' Virtual Board']",0,0,"['Physical Books', ' E-Books']","['Facing Problem while uploading', ' File was uploaded but not shown in review']",1,0,1,1,1,2,3,9,
85,1-22-2021 12:22:08,renewable energy systems,0,2,0,"['Zoom', ' Google Meet']",1,"['Presentation', ' Virtual Board']",0,0,"['Physical Books', ' E-Books']","['Facing Problem while uploading', ' File was uploaded but not shown in review']",1,0,1,1,1,2,3,9,
86,1-22-2021 12:23:10,computer networks,1,1,0,['Google Meet'],2,['White board'],1,0,['Presentations'],['Everything was perfect'],0,3,3,2,3,2,0,8,
87,1-22-2021 12:24:20,design and analysis of algorithms,1,1,0,['Zoom'],2,['Presentation'],0,0,"['Notes', ' Presentations']",['Everything was perfect'],0,3,1,1,0,2,2,9,
88,1-22-2021 12:27:11,HPCA,1,2,1,['Zoom'],0,['Presentation'],0,0,['Youtube'],['Everything was perfect'],0,0,1,2,3,0,0,9,
89,1-22-2021 12:29:15,Data Mining and Data Warehousing,1,0,0,['Zoom'],2,['Presentation'],0,0,"['E-Books', ' Presentations']",['Everything was perfect'],0,0,1,3,3,2,1,10,
90,1-22-2021 12:31:11,artificial intelligence,0,7,1,['Cisco Webex'],3,['Youtube or Videos(example:-Recorded Lecture of practical shown in class)'],2,2,['None'],['File was uploaded but not shown in review'],1,1,1,1,2,2,0,9,
91,1-22-2021 12:32:45,software engineering,0,10,1,['Zoom'],2,['Links to reference Material'],1,2,['Presentations'],['Facing Problem while uploading'],0,1,1,1,0,0,2,9,
92,1-22-2021 13:53:47,Software Engineering,0,1,0,['Google Meet'],2,"['Presentation', ' Links to reference Material']",0,0,"['Notes', ' Presentations']",['Everything was perfect'],1,0,1,0,3,2,3,10,
93,1-22-2021 13:54:01,Software Engineering,1,0,1,['Zoom'],2,"['Presentation', ' Links to reference Material']",0,0,"['Notes', ' Presentations']",['Everything was perfect'],1,0,1,2,3,2,3,9,"Stop online classes, would be better to provide classes at a later time"
94,1-22-2021 13:55:24,Software Engineering,1,1,1,['Google Meet'],2,['Presentation'],0,1,"['E-Books', ' Presentations']",['Everything was perfect'],1,0,0,0,1,2,1,10,
95,1-22-2021 13:55:55,Design and Analysis of Algorithms,1,2,0,"['Zoom', ' Google Meet']",0,"['Presentation', ' Links to reference Material']",1,0,"['Physical Books', ' E-Books', ' Presentations']",['Everything was perfect'],1,2,1,1,1,2,3,8,
96,1-22-2021 13:56:08,Design and Analysis of Algorithms,1,2,0,"['Zoom', ' Google Meet']",0,"['White board', ' Presentation', ' Links to reference Material', ' Youtube or Videos(example:-Recorded Lecture of practical shown in class)']",1,0,"['Physical Books', ' E-Books', ' Notes', ' Presentations']",['Everything was perfect'],1,2,1,3,1,2,4,9,
97,1-22-2021 13:58:54,Computer Networks,1,0,1,['Google Meet'],0,['Presentation'],2,0,['Presentations'],['Facing Problem while uploading'],1,0,1,1,3,1,0,8,
